,title,artist,date,medium,dimension,image_path
795,Two Voices: Harmony and Discord,Arthur B. Davies,c. 1910,Oil on canvas,44.1 × 100.3 cm (17 3/8  × 39 1/2 in.),Dataset\Arthur B. Davies\two-voices-harmony-and-discord
796,Villa Barberini,George Inness,1872,Oil on canvas,23.5 × 34 cm (9 1/4 × 13 3/8 in.),Dataset\George Inness\villa-barberini
797,Moonlight on Passamaquoddy Bay,George Inness,1893,Oil on canvas,76.8 × 114.9 cm (30 1/4 × 45 1/4 in.),Dataset\George Inness\moonlight-on-passamaquoddy-bay
798,Virgin and Child with the Young Saint John the Baptist,Agnolo Bronzino,1527/30 or later,Oil on panel,32 1/8 × 22 5/8 in. (81.6 × 57.4 cm),Dataset\Agnolo Bronzino\virgin-and-child-with-the-young-saint-john-the-baptist
799,The Plough and the Song,Arshile Gorky,1946–47,Oil on canvas,134.2 × 155.7 cm (51 7/8 × 61 3/8 in.),Dataset\Arshile Gorky\the-plough-and-the-song
800,Composition,Nicolas de Staël,1946,Oil on canvas,39 9/16 × 25 9/16 in. (99.9 × 64.9 cm),Dataset\Nicolas de Staël\composition
801,"Virgil Reading the ""Aeneid"" to Augustus, Octavia, and Livia",Jean Baptiste Joseph Wicar,1790/93,Oil on canvas,43 3/4 × 56 1/8 in. (111.1 × 142.6 cm),Dataset\Jean Baptiste Joseph Wicar\virgil-reading-the-aeneid-to-augustus-octavia-and-livia
802,The Actress Consuelo,Ignacio Zuloaga,c. 1920/25,Oil on canvas,81 × 57 1/2 in.,Dataset\Ignacio Zuloaga\the-actress-consuelo
803,Vesperal No. 3,Jean-Paul Riopelle,1957,Oil on canvas,113.7 × 161.5 cm (44 3/4 × 63 5/8 in.),Dataset\Jean-Paul Riopelle\vesperal-no-3
804,Landscape,Heinrich Campendonk,1917,Oil on canvas,26 3/8 × 19 1/2 in. (67 × 49.5 cm),Dataset\Heinrich Campendonk\landscape
805,Composition with Red Arrow,Marcel Janco,1918,"Plaster and casein on burlap, mounted on cardboard",19 3/4 × 26 1/2 in. (50.2 × 66.7 cm),Dataset\Marcel Janco\composition-with-red-arrow
806,Ballet of the Left-Handed Piano,Michael Hurson,1962,Oil and charcoal on canvas,223.8 × 177.2 cm (88 1/8 × 69 3/4 in.),Dataset\Michael Hurson\ballet-of-the-left-handed-piano
807,High Ranking Courtesan,Mihata Jôryû,c. 1830/43,"Ink, color, and gold on silk",106.6 × 45.6 cm (42 × 18 in.); overall: 176.5 × 54.6 cm (69 1/2 × 21 1/2 in.),Dataset\Mihata Jôryû\high-ranking-courtesan
808,Fei Jiang-fang with a Crane,Kanô Tsunenobu,Late 17th–early 18th century,Triptych of hanging scrolls; ink and light colors on silk,Painting: 94.3 × 32.4 cm (37 1/8 × 12 3/4 in.); 177.8 × 42.6 cm (with mounting) (70 × 16 3/4 in.);177.8 × 46.7 cm (with knobs) (70 × 18 3/8 in.),Dataset\Kanô Tsunenobu\fei-jiang-fang-with-a-crane
809,Fei Jiang-fang with a Crane,Kanô Tsunenobu,"Edo period, late 17th–early  18th century",Triptych of hanging scrolls; ink and light colors on silk,Painting: 94.3 × 32.4 cm (37 1/8 × 12 3/4 in.); 177.8 × 42.6 cm (with mounting) (70 × 16 3/4 in.);177.8 × 46.7 cm (with knobs) (70 × 18 3/8 in.),Dataset\Kanô Tsunenobu\fei-jiang-fang-with-a-crane
810,Landsape with Waterfall,Kanô Tsunenobu,"Edo period, late 17th–early  18th century",Triptych of hanging scrolls; ink and light colors on silk,Painting: 94.3 × 32.4 cm (37 1/8 × 12 3/4 in.); 177.8 × 42.6 cm (with mounting) (70 × 16 3/4 in.);177.8 × 46.7 cm (with knobs) (70 × 18 3/8 in.),Dataset\Kanô Tsunenobu\landsape-with-waterfall
811,A Mansion at Prairie Avenue,Irene Clark,around 1955,Oil on plywood,"36.2 × 33 cm (14 1/4 × 13 in.), without frame",Dataset\Irene Clark\a-mansion-at-prairie-avenue
812,The Lovers,William Powell Frith,1855,Oil on board,14 11/16 × 12 in. (38 × 31 cm),Dataset\William Powell Frith\the-lovers
813,The Gulf of Salerno,Joseph Wright of Derby,1783/85,Oil on canvas,16 3/8 × 23 3/8 in. (41.6 × 59.4 cm),Dataset\Joseph Wright of Derby\the-gulf-of-salerno
814,Angel,Luc Tuymans,1992,Oil on linen,61.3 × 65.7 cm (24 1/8 × 25 7/8 in.),Dataset\Luc Tuymans\angel
815,Niks,Luc Tuymans,2002,Oil on canvas,109.2 × 113 cm (43 × 44 1/2 in.),Dataset\Luc Tuymans\niks
816,Portrait of Mr. William W. Welch,Sheldon Peck,c. 1837,Oil on canvas,64.8 × 54.6 cm (25 1/2 × 21 1/2 in.),Dataset\Sheldon Peck\portrait-of-mr-william-w-welch
817,Day (Truth),Ferdinand Hodler,1896/98,Oil on canvas,79 × 41 1/2 in. (200.5 × 105 cm),Dataset\Ferdinand Hodler\day-truth
818,The Actor Maximilian Korn in a Landscape,Ferdinand Georg Waldmüller,1828,Oil on panel,31.5 × 26 cm (12 3/8 × 10 1/4 in.),Dataset\Ferdinand Georg Waldmüller\the-actor-maximilian-korn-in-a-landscape
819,A View of Vianen with a Herdsman and Cattle by a River,Aelbert Cuyp,c. 1643/45,Oil on panel,15 3/4 × 21 5/8 in. (40 × 55 cm),Dataset\Aelbert Cuyp\a-view-of-vianen-with-a-herdsman-and-cattle-by-a-river
820,Pictograph-Symbol,Adolph Gottlieb,1942,Oil on canvas,"137.2 × 101.9 cm (54 × 40 1/8 in.), without frame",Dataset\Adolph Gottlieb\pictograph-symbol
821,The Irish Question,De Scott Evans,1880s,Oil on canvas,30.5 × 25.4 cm (12 × 10 in.),Dataset\De Scott Evans\the-irish-question
822,An Abundance of Fruit,Severin Roesen,c. 1860,Oil on canvas,63.5 × 76.2 cm (25 × 30 in.),Dataset\Severin Roesen\an-abundance-of-fruit
823,Tah-Bo-Ho-Ya,Elbridge Ayer Burbank,1898,Oil on panel,20.3 × 15.2 cm (8 × 6 in.),Dataset\Elbridge Ayer Burbank\tah-bo-ho-ya
824,Pah-Puh,Elbridge Ayer Burbank,1898,Oil on panel,20.3 × 15.2 cm (8 × 6 in.),Dataset\Elbridge Ayer Burbank\pah-puh
825,Shu-Pe-La,Elbridge Ayer Burbank,1898,Oil on panel,24.1 × 20.3 cm (9 1/2 × 8 in.),Dataset\Elbridge Ayer Burbank\shu-pe-la
826,Wick-Ah-Te-Wah,Elbridge Ayer Burbank,1898,Oil on canvas,34.3 × 22.9 cm (13 1/2 × 9 in.),Dataset\Elbridge Ayer Burbank\wick-ah-te-wah
827,Ho-Mo-Vi,Elbridge Ayer Burbank,1898,Oil on canvas,38.1 × 48.3 cm (15 × 19 in.),Dataset\Elbridge Ayer Burbank\ho-mo-vi
828,Ko-Pe-Ley,Elbridge Ayer Burbank,1898,Oil on canvas,37.5 × 48.3 cm (14 3/4 × 19 in.),Dataset\Elbridge Ayer Burbank\ko-pe-ley
829,Kah-Kap-Tee,Elbridge Ayer Burbank,1898,Oil on canvas,33 × 22.9 cm (13 × 9 in.),Dataset\Elbridge Ayer Burbank\kah-kap-tee
830,Wick-Ey,Elbridge Ayer Burbank,1898,Oil on canvas,33 × 22.9 cm (13 × 9 in.),Dataset\Elbridge Ayer Burbank\wick-ey
831,Dark Star,Glenn Brown,2003,Oil on panel,100 × 75 cm (39 1/2 × 29 1/2 in.),Dataset\Glenn Brown\dark-star
832,Jogging Too Fast to Remember the Stroke,Chu Ko,2003,Ink on paper (framed),70 × 50 cm,Dataset\Chu Ko\jogging-too-fast-to-remember-the-stroke
833,Heavenly Motion,Chu Ko,2003,Ink on paper (framed),103 × 68 cm,Dataset\Chu Ko\heavenly-motion
834,One of the 19 Poems of Antiquity- Times of Separation and Suffering after the War during the reign of Chien-an,Chu Ko,2003,Ink on paper (framed),65 × 70 cm,Dataset\Chu Ko\one-of-the-19-poems-of-antiquity-times-of-separation-and-suffering-after-the-war-during-the-reign-of-chien-an
835,Angel,Lisa Yuskavage,2004,Oil on linen,213.6 × 173.1 cm (84 1/16 × 68 1/8 in.),Dataset\Lisa Yuskavage\angel
836,Sound of stream from a forest after rain (Quan sheng dai yu chu xi lin),Zhu Daoping,20th century,Unmounted; ink and color on paper,132 × 65.5 cm,Dataset\Zhu Daoping\sound-of-stream-from-a-forest-after-rain-quan-sheng-dai-yu-chu-xi-lin
837,Fragment from Christ Carrying the Cross: Mourning Virgin,"Jean Hey, (the Master of Moulins)",1500/05,Oil on panel,10 13/16 × 7 7/8 in. (27.5 × 19.9 cm); image: 10 3/8 × 7 1/4 in. (26.3 × 18.4 cm),"Dataset\Jean Hey, (the Master of Moulins)\fragment-from-christ-carrying-the-cross-mourning-virgin"
838,Landscape,Li Huayi,2002,"Unmounted, ink and color on paper",182.0 × 98.3 cm (71.7 × 38.7 in.),Dataset\Li Huayi\landscape
839,Landscape after the Ancient Masters,Zhang Hong,2004,Hanging scroll; ink on paper,137.6 × 68.8 cm (54.2 × 27.1 in.),Dataset\Zhang Hong\landscape-after-the-ancient-masters
840,Squirrel and Grapes,Shen Yongling,1694 清朝,Hanging scroll; ink and color on paper,33 1/5 × 12 1/4 in. (84.7 × 30.6 cm),Dataset\Shen Yongling\squirrel-and-grapes
841,Still Life in Interior,Preston Dickinson,1920/22,Oil on canvas,71.1 × 50.8 cm (28 × 20 in.),Dataset\Preston Dickinson\still-life-in-interior
842,Solitude,Joshua Shaw,1818,Oil on canvas,54.5 × 78.7 cm (21 1/2 × 31 in.),Dataset\Joshua Shaw\solitude
843,Taihu Rock,Rushan,"Qing dnasty (1644–1911), c. 1860",Folding fan (mounted); finger painting in ink on paper,23.5 × 51.5 cm (9.3 × 20.3 in.),Dataset\Rushan\taihu-rock
844,Untitled (Female Musicians and Dancers),Maqbool Fida Husain,late 1950s/early 1960s,Oil on canvas,97.2 × 127.4 cm (38 × 50 in.),Dataset\Maqbool Fida Husain\untitled-female-musicians-and-dancers
845,Near the Lagoon,Jasper Johns,2002,Encaustic on canvas and wooden boards with objects,300 × 198.1–214.6 (variable) × 10 cm (118 × 78–84 1/2 [variable] × 4 in.),Dataset\Jasper Johns\near-the-lagoon
846,Untitled,Ellen Gallagher,1999,"Enamel, rubber, and paper on canvas",305 × 244 cm (120 × 96 in.),Dataset\Ellen Gallagher\untitled
847,Queer Basher/Icarus Falling,David Wojnarowicz,1986,Spray paint and acrylic on board,182 × 121 cm (72 × 48 in.),Dataset\David Wojnarowicz\queer-basher-icarus-falling
848,Untitled,David Wojnarowicz,1983,"Spray enamel, ink, and paper collage on board",121 × 182 cm (48 × 72 in.),Dataset\David Wojnarowicz\untitled
849,Mirror #3 (Six Panels),Roy Lichtenstein,1971,Oil and Magna on two sets of three joined canvases,305 × 335 cm (120 × 132 in.),Dataset\Roy Lichtenstein\mirror-3-six-panels
850,The Nativity,Fra Bartolommeo,1504/07,Oil on panel,34 × 24.5 cm (13 3/8 × 9 5/8 in.),Dataset\Fra Bartolommeo\the-nativity
851,Portrait of Emmanuel Rio,Albert Schindler,1836,Oil on panel,39 × 31.7 cm (15 3/8 × 12 1/2 in.),Dataset\Albert Schindler\portrait-of-emmanuel-rio
852,Untitled,Albert Oehlen,1997,"Screen print, acrylic and oil on canvas",245 × 190.5 cm (96.5 × 75 in.),Dataset\Albert Oehlen\untitled
853,"Buddha, after an image at the Mogao Caves, Dunhuang",Xie Zhiliu,1944,"Hanging scroll, ink and colors on paper","130.0 × 47.5 cm
236.0 × 66.0 cm (mount)",Dataset\Xie Zhiliu\buddha-after-an-image-at-the-mogao-caves-dunhuang
854,"Inscription on the Stone Drums, and the Bilou Stele: Calligraphy in Seal Script",Qian Daxin,Qing dynasty (1644–1911),Hanging scroll; ink on paper,"125.6 × 31.0 cm
217.5 × 52.3 cm (mount)",Dataset\Qian Daxin\inscription-on-the-stone-drums-and-the-bilou-stele-calligraphy-in-seal-script
855,Distributor,Robert Ryman,1985,Oil on fiberglass with wood and aluminum,121.92 × 109.22 cm (48 × 43 in.),Dataset\Robert Ryman\distributor
856,Yandang Mountains after the Style of Shen Zhou,Cai Jiating,"Qing dynasty (1644–1911), early 19th century",Handscroll; ink and colors on paper,34.0 × 560.0 cm (13 3/8 × 221 5/8 in.),Dataset\Cai Jiating\yandang-mountains-after-the-style-of-shen-zhou
857,Black Splash 6,Zhao Chunxiang,c. 1980/90,Unmounted; ink on paper,98 × 63 cm,Dataset\Zhao Chunxiang\black-splash-6
858,The Stream,Zeng Mi,1997,Ink on paper (framed),68.5 × 68 cm,Dataset\Zeng Mi\the-stream
859,Untitled,Laura Owens,2004,Oil and acrylic on linen,199.4 × 228 cm (78 1/2 × 89 3/4 in.),Dataset\Laura Owens\untitled
860,Down the Road from my Brother's House,Maureen Gallace,2002,Oil on linen,27.9 × 35.6 cm (11 × 14 in.),Dataset\Maureen Gallace\down-the-road-from-my-brother-s-house
861,Das tiranias [of the tyrannies],José Leonilson,c. 1991,Acrylic on canvas,155 × 86 cm (60 × 33 ¾ in.),Dataset\José Leonilson\das-tiranias-of-the-tyrannies
862,Empathy Displacement/Loopy in Blue and Orange,Sue Williams,1997,Oil and acrylic on canvas,162.56 × 182.88 cm (64 × 72 in.),Dataset\Sue Williams\empathy-displacement-loopy-in-blue-and-orange
863,"Living Rooms: SouthEast-One, with lights, action",Julia Fish,2003-05,Oil on canvas,82.6 × 83.8 cm (32.5 × 33 in.),Dataset\Julia Fish\living-rooms-southeast-one-with-lights-action
864,One at the Time,Michael Borremans,2003,Oil on canvas,85 × 100 cm (33 1/2 × 39 3/8 in.),Dataset\Michael Borremans\one-at-the-time
865,Two,Richard Lindner,1976,Oil on canvas,203 × 153 cm (80 × 60 1/4 in.),Dataset\Richard Lindner\two
866,Coming Squall (Nahant Beach with a Summer Shower),Thomas Doughty,1835,Oil on canvas mounted on cradled panel,52.1 × 71.4 cm (20 1/2 × 28 1/8 in.),Dataset\Thomas Doughty\coming-squall-nahant-beach-with-a-summer-shower
867,Animal,Victor Brauner,December 1950,Oil on canvas,38 × 46 cm (15 × 18 in.),Dataset\Victor Brauner\animal
868,Alphabet de la Tête,Victor Brauner,1938,Oil on canvas,55 × 46 cm (21 5/8 × 23 1/4 in.),Dataset\Victor Brauner\alphabet-de-la-tete
869,Untitled,Victor Brauner,April 1957,Oil on canvas,28 1/2 × 23 1/4 in. (63.7 × 78 cm),Dataset\Victor Brauner\untitled
870,Globe and Banjo,Jean Metzinger,1930,Oil on canvas,65 × 92 cm (25 1/2 × 36 1/4 in.),Dataset\Jean Metzinger\globe-and-banjo
871,Face Holding a Leaf,Léopold Survage,c. 1934,Oil on canvas,36.8 × 44.5 cm (14 1/2 × 17 1/2 in.),Dataset\Léopold Survage\face-holding-a-leaf
872,Group Pilgrimage to the Jizo Nun,Ike Taiga,1755/65,Hanging scroll; ink on paper,54.9 × 123.2 cm (21 5/8 × 48 1/2 in.),Dataset\Ike Taiga\group-pilgrimage-to-the-jizo-nun
873,It's a New Age,Sue Williams,1992,Acrylic and oil on canvas,162.56 × 137.16 cm (64 × 54 in.),Dataset\Sue Williams\it-s-a-new-age
874,Halleluiah,Max Ernst,1948,Oil on canvas,101.6 × 76.5 cm (40 × 30 1/8 in.),Dataset\Max Ernst\halleluiah
875,Forest and Sun,Max Ernst,1927,Oil on canvas,66 × 82.5 cm (26 × 32 1/2 in.),Dataset\Max Ernst\forest-and-sun
876,"Relational Painting, No. 82",Fritz Glarner,1957,Oil on canvas,43 7/8 × 32 in. (111.5 × 81.3 cm),Dataset\Fritz Glarner\relational-painting-no-82
877,Still Life with Fragments,Paul Klee,1925,Oil and watercolor on cardboard,17 × 28 1/2 in. (43.1 × 72.4 cm),Dataset\Paul Klee\still-life-with-fragments
878,Still Life Filled with Space,Le Corbusier (Charles-Édouard Jeanneret),1924,Oil on canvas,23 3/4 × 28 3/4 in. (60.3 × 73 cm),Dataset\Le Corbusier (Charles-Édouard Jeanneret)\still-life-filled-with-space
879,Psychological Morphology,Matta,1938,Oil on canvas,28 1/2 × 35 3/4 in. (72.4 × 90.8 cm),Dataset\Matta\psychological-morphology
880,Festival in Montmartre,Gino Severini,1913,Oil on canvas,88.9 × 116.2 cm (35 × 45 3/4 in.),Dataset\Gino Severini\festival-in-montmartre
881,Large Mowing Machine with Horses,Jacques Villon,1950,Oil on canvas,38 3/8 × 57 3/4 in. (97.5 × 146.8 cm),Dataset\Jacques Villon\large-mowing-machine-with-horses
882,View on the Grounds of a Villa near Florence,Richard Parkes Bonington,1826,Oil on millboard mounted on canvas,43.1 × 58.4 cm (17 × 23 in.),Dataset\Richard Parkes Bonington\view-on-the-grounds-of-a-villa-near-florence
883,Untitled (Still Life with Lobster),Jan Matulka,c. 1930,"Oil, and possibly sand, on canvas",70.8 × 73.7 cm (27 7/8 × 29 in.),Dataset\Jan Matulka\untitled-still-life-with-lobster
884,Train Landscape,Ellsworth Kelly,1953,Oil on canvas; three joined panels,111.8 × 111.8 cm (44 × 44 in.),Dataset\Ellsworth Kelly\train-landscape
885,Figure in Pink and Yellow,Manierre Dawson,1914,Oil on board,55.9 × 71.1 cm (22 × 28 in.),Dataset\Manierre Dawson\figure-in-pink-and-yellow
886,The Wader,Milton Avery,1959,Oil on canvas,96.5 x 45.7 cm (38 x 18 in.),Dataset\Milton Avery\the-wader
887,Entry [Fragment One],Julia Fish,1998,Oil on canvas,29.2 × 52.1 cm (11 1/2 × 20 1/2 in.),Dataset\Julia Fish\entry-fragment-one
888,Myself,Leopold Gould Seyffert,1925,Oil on canvas,95.3 × 74.9 cm (37 1/2 × 29 1/2 in.),Dataset\Leopold Gould Seyffert\myself
889,The First Part of the Return from Parnassus,Cy Twombly,1961,"Oil paint, lead pencil, wax crayon, colored pencil on canvas",240.7 × 300.7 cm (94 3/4 × 118 3/8 in.),Dataset\Cy Twombly\the-first-part-of-the-return-from-parnassus
890,The Second Part of the Return from Parnassus,Cy Twombly,1961,"Wax crayon, lead pencil, oil paint, colored pencil on canvas",200 × 260.5 cm (78 3/4 × 102 1/2 in.),Dataset\Cy Twombly\the-second-part-of-the-return-from-parnassus
891,Sienna,Cecilia Edefalk,1999,Oil on canvas,80 × 53 cm (31 1/2 × 21 in.),Dataset\Cecilia Edefalk\sienna
892,Brilliant Gloom,Michael Raedecker,2004,Acrylic and thread on canvas,190.5 × 309.88 cm (75 × 122 in.),Dataset\Michael Raedecker\brilliant-gloom
893,Afternoon Tea,Jean-François Rafaëlli,c. 1880,Oil on linen canvas,34.9 × 28.6 cm (13 3/4 × 11 1/4 in.),Dataset\Jean-François Rafaëlli\afternoon-tea
894,Relief,Charles Green Shaw,1937,Painted wood relief,121.9 × 152.4 cm (48 × 60 in.),Dataset\Charles Green Shaw\relief
895,Grey Diamond,Ilya Bolotowsky,1955,"Oil on canvas, mounted on panel","129.5 × 129.5 cm (51 × 51 in.)
W. at center: 182.9 cm (72 in.)",Dataset\Ilya Bolotowsky\grey-diamond
896,Untitled,Rudolf Stingel,1988,Oil and enamel on canvas,50 × 50 cm (19.7 × 19.7 in.),Dataset\Rudolf Stingel\untitled
897,Looking Leisurely at Distant Boats,Shao Yixuan,Undated (20th century),Hanging scroll; ink on paper,"116.2 × 41.0 cm; (45 3/4 × 16 1/8 in.), 228.0 × 76.0 cm; (89 3/4 × 29 15/16 in.) (mount).",Dataset\Shao Yixuan\looking-leisurely-at-distant-boats
898,The Prophet,Francis Alÿs,1999/2001,"Oil on encaustic on wood and canvas, in two panels",38.2 × 47.1 cm (15 × 18 1/2 in.) each,Dataset\Francis Alÿs\the-prophet
899,Orchids 墨兰花,Chen Wu,"Qing dynasty (1644–1912), 1832 清代",Album leaves; ink on paper,"Each leaf measures: 21.0 × 27.6 cm (8 1/4 × 11 in.)
26.4 × 35.0 cm (10 1/4 × 13 in. mount)",Dataset\Chen Wu\orchids-mo-lan-hua
900,Orchids,Kim Eung-won,Joseon dynasty(1392–1910),"Hanging scroll, ink on paper",33.0 × 44.4 cm (13 × 17 1/2 in.),Dataset\Kim Eung-won\orchids
901,Ten Thousand Acres of Lotus,Li Huasheng,1991,"Hanging scroll, Ink and light color on paper",137.5 × 69.0 cm (54 1/8 × 27 1/8 in.),Dataset\Li Huasheng\ten-thousand-acres-of-lotus
902,Untitled No. 19,Tang Haiwen,Undated (20th century),"Diptych, ink on paper",21.5 × 12.5 cm (8 15/32 × 4 31/32 in.),Dataset\Tang Haiwen\untitled-no-19
903,Heaven,Mary Heilmann,2004,Oil on canvas,190.5 × 152.4 cm (75 × 60 in.),Dataset\Mary Heilmann\heaven
904,Early,James Bishop,1967,Oil on canvas,194 × 194 cm (76 3/8 × 76 3/8 in.),Dataset\James Bishop\early
905,Untitled,James Bishop,1980,Oil on canvas,193 × 193 cm (76 × 76 in.),Dataset\James Bishop\untitled
906,Landscape,Alfred Sisley,1887,Oil on canvas,21 3/4 × 28 15/16 in. (55.3 × 73.5 cm),Dataset\Alfred Sisley\landscape
907,A Roadside Tavern,Johan Barthold Jongkind,1863,Oil on canvas,33.5 × 46.4 cm (13 3/16 × 18 1/4 in.),Dataset\Johan Barthold Jongkind\a-roadside-tavern
908,Krug,Magnus von Plessen,2005,Oil on canvas,138 × 116.5 cm (54 1/4 × 45 3/4 in.),Dataset\Magnus von Plessen\krug
909,Shamsa Medallion,Islamic,16th/17th century,"Opaque watercolor, gold, and black ink inlaid on laid paper",,Dataset\Islamic\shamsa-medallion
910,Abstract Composition,Le Corbusier (Charles-Édouard Jeanneret),1927,Oil on canvas,16 1/8 × 10 3/4 in. (41 × 27.3 cm),Dataset\Le Corbusier (Charles-Édouard Jeanneret)\abstract-composition
911,It's Spring Again,Kong Baiji,2005,Oil on paper (framed),122 × 91.5 cm (48 × 36 in.),Dataset\Kong Baiji\it-s-spring-again
912,Poem by Li Bai,Han Tianheng,late 20th century,Hanging scroll; ink on paper,125.7 × 48.4 cm (49 1/2 × 19 in.),Dataset\Han Tianheng\poem-by-li-bai
913,"The Senseless Cycle, Tender and Benign, Bring Great Comfort",Lari Pittman,1988,Acrylic and spray laquer on wood panel,243.8 × 162.6 cm (96 × 64 in.),Dataset\Lari Pittman\the-senseless-cycle-tender-and-benign-bring-great-comfort
914,"Virgin and Child with the Young Saint John the Baptist, Saint Cecilia, and Angels",Piero di Cosimo,c. 1505,Oil on poplar panel,Diameter: 75 cm,Dataset\Piero di Cosimo\virgin-and-child-with-the-young-saint-john-the-baptist-saint-cecilia-and-angels
915,Searching for Mountains No. 2,Wucius Wong,2005,Ink on paper,120 × 237 cm (47 1/4 × 93 5/16 in.),Dataset\Wucius Wong\searching-for-mountains-no-2
916,Moeder,Tomma Abts,2005,Acrylic and oil on canvas,48 × 38 cm (19 × 15 in.),Dataset\Tomma Abts\moeder
917,Untitled,Gaylen Gerber,not dated,Oil on canvas,96.5 × 96.5 cm (38 × 38 in.),Dataset\Gaylen Gerber\untitled
918,Untitled,Gaylen Gerber,not dated,Oil on canvas,96.5 × 96.5 cm (38 × 38 in.),Dataset\Gaylen Gerber\untitled
919,Untitled,Gaylen Gerber,not dated,Oil on canvas,96.5 × 96.5 cm (38 × 38 in.),Dataset\Gaylen Gerber\untitled
920,Yellow Dancers (In the Wings),Hilaire Germain Edgar Degas,1874/76,Oil on canvas,73.5 × 59.5 cm (28 15/16 × 23 7/16 in.),Dataset\Hilaire Germain Edgar Degas\yellow-dancers-in-the-wings
921,Contemporary de Sade-John Wayne Gacy,Roger Brown,1981,Oil on canvas,183 × 183 cm (72 × 72 in.),Dataset\Roger Brown\contemporary-de-sade-john-wayne-gacy
922,Bloom,Julia Fish,1989,Oil and wax on canvas,76.2 × 68.5 cm (30 × 27 in.),Dataset\Julia Fish\bloom
923,Rubbings from the Calcium Garden...Meadlo,Irving Petlin,1970,Oil on canvas,304.8 × 241.3 cm (120 × 95 in.),Dataset\Irving Petlin\rubbings-from-the-calcium-garden-meadlo
